date,state_fang,state_macd,state_fg,state_vix,state_ma,state_eod,state_lead,state_btc,score_d,score_w,score_m,trend_d,trend_w,trend_m,overall_d,overall_w,overall_m,tone,verdict_ko,n_watch_avail,fg_avail,eod_avail,n_leaders,spy_close,vix_close
2015-01-02,GREEN,G2R,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,0.176923,0.133333,-0.411111,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,23,False,False,3,169.687836,17.790001
2015-01-05,AMBER,RED,AMBER,G2R,GREEN,AMBER,AMBER,G2R,-0.184615,-0.444444,-0.500000,-1,-1,-1,G2R,G2R,RED,reduce,시장 전체가 내리막,23,False,False,2,166.623337,19.920000
2015-01-06,AMBER,RED,AMBER,G2R,AMBER,AMBER,AMBER,G2R,-0.369231,-0.444444,-0.500000,-1,-1,-1,G2R,G2R,RED,reduce,시장 전체가 내리막,23,False,False,2,165.053909,21.120001
2015-01-07,AMBER,RED,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,-0.123077,-0.577778,-0.500000,-1,-1,-1,G2R,RED,RED,reduce,시장 전체가 내리막,23,False,False,1,167.110703,19.309999
2015-01-08,G2R,RED,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,-0.215385,-0.411111,-0.411111,0,-1,-1,AMBER,G2R,G2R,neutral,방향이 뚜렷하지 않음,23,False,False,2,170.076111,17.010000
2015-01-09,G2R,RED,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,-0.215385,-0.411111,-0.411111,1,-1,-1,R2G,G2R,G2R,caution,바닥 신호가 살짝 보임,23,False,False,3,168.713120,17.549999
2015-01-12,G2R,RED,AMBER,AMBER,GREEN,AMBER,AMBER,AMBER,-0.138462,-0.577778,-0.500000,0,-1,-1,AMBER,RED,RED,reduce,나쁜 쪽에 가까움,23,False,False,2,167.391510,19.600000
2015-01-13,AMBER,RED,AMBER,AMBER,GREEN,AMBER,AMBER,G2R,-0.123077,-0.666667,-0.500000,1,-1,-1,R2G,RED,RED,caution,바닥 신호가 살짝 보임,23,False,False,4,166.920746,20.559999
2015-01-14,AMBER,RED,AMBER,AMBER,AMBER,AMBER,AMBER,G2R,-0.307692,-0.666667,-0.500000,-1,-1,-1,G2R,RED,RED,reduce,시장 전체가 내리막,23,False,False,3,165.912979,21.480000
2015-01-15,AMBER,RED,AMBER,G2R,AMBER,AMBER,AMBER,G2R,-0.369231,-0.666667,-0.500000,-1,-1,-1,G2R,RED,RED,reduce,시장 전체가 내리막,23,False,False,1,164.393127,22.389999
2015-01-16,AMBER,RED,AMBER,AMBER,AMBER,AMBER,AMBER,G2R,-0.307692,-0.666667,-0.500000,-1,-1,-1,G2R,RED,RED,reduce,시장 전체가 내리막,23,False,False,0,166.549026,20.950001
2015-01-20,GREEN,RED,AMBER,AMBER,AMBER,AMBER,AMBER,G2R,-0.123077,-0.666667,-0.500000,1,-1,-1,R2G,RED,RED,caution,바닥 신호가 살짝 보임,23,False,False,4,166.904205,19.889999
2015-01-21,GREEN,R2G,AMBER,AMBER,GREEN,AMBER,AMBER,GREEN,0.638462,-0.533333,-0.500000,1,1,-1,GREEN,R2G,RED,buy,바닥을 다지는 중,23,False,False,4,167.746719,18.850000
2015-01-22,GREEN,GREEN,AMBER,GREEN,GREEN,AMBER,AMBER,GREEN,0.876923,0.000000,-0.233333,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,23,False,False,4,170.241302,16.400000
2015-01-23,GREEN,GREEN,AMBER,GREEN,GREEN,AMBER,AMBER,GREEN,0.876923,0.000000,-0.233333,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,23,False,False,4,169.307892,16.660000
2015-01-26,GREEN,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,1.000000,0.000000,-0.233333,1,1,-1,GREEN,R2G,G2R,buy,바닥을 다지는 중,23,False,False,5,169.704361,15.520000
2015-01-27,GREEN,GREEN,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.692308,-0.177778,-0.411111,-1,1,-1,G2R,R2G,G2R,neutral,방향이 뚜렷하지 않음,23,False,False,5,167.465897,17.219999
2015-01-28,GREEN,RED,AMBER,AMBER,AMBER,AMBER,AMBER,GREEN,0.107692,-0.177778,-0.500000,-1,1,-1,G2R,R2G,RED,neutral,방향이 뚜렷하지 않음,23,False,False,4,165.318222,20.440001
2015-01-29,GREEN,RED,AMBER,AMBER,AMBER,AMBER,GREEN,GREEN,0.230769,-0.177778,-0.500000,-1,1,-1,G2R,R2G,RED,neutral,방향이 뚜렷하지 않음,23,False,False,5,166.846344,18.760000
2015-01-30,GREEN,RED,AMBER,G2R,AMBER,AMBER,GREEN,AMBER,0.015385,-0.177778,-0.500000,-1,-1,-1,G2R,G2R,RED,reduce,시장 전체가 내리막,23,False,False,6,164.748276,20.969999
2015-02-02,GREEN,RED,AMBER,AMBER,AMBER,AMBER,GREEN,G2R,0.000000,-0.177778,-0.366667,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,23,False,False,5,166.788544,19.430000
2015-02-03,GREEN,GREEN,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.646154,-0.177778,-0.277778,1,0,1,GREEN,AMBER,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,6,169.200531,17.330000
2015-02-04,GREEN,GREEN,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.646154,-0.177778,-0.366667,1,0,1,GREEN,AMBER,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,7,168.556183,18.330000
2015-02-05,GREEN,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,G2R,0.769231,0.000000,-0.100000,1,1,1,GREEN,R2G,R2G,buy,바닥을 다지는 중,23,False,False,9,170.257797,16.850000
2015-02-06,GREEN,GREEN,AMBER,AMBER,GREEN,AMBER,GREEN,AMBER,0.723077,-0.177778,-0.277778,0,0,1,GREEN,AMBER,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,9,169.786957,17.290001
2015-02-09,GREEN,GREEN,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.646154,0.655556,-0.366667,0,1,0,GREEN,GREEN,AMBER,buy,반등이 확인됨,23,False,False,9,169.026993,18.549999
2015-02-10,AMBER,GREEN,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,0.461538,0.655556,-0.277778,-1,1,1,G2R,GREEN,R2G,caution,신호가 엇갈림,23,False,False,12,170.827789,17.230000
2015-02-11,AMBER,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,G2R,0.584615,0.833333,-0.100000,-1,1,1,G2R,GREEN,R2G,caution,신호가 엇갈림,23,False,False,11,170.926834,16.959999
2015-02-12,AMBER,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.815385,0.833333,0.266667,1,1,1,GREEN,GREEN,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,13,172.570663,15.340000
2015-02-13,AMBER,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.815385,0.833333,0.266667,1,1,1,GREEN,GREEN,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,13,173.281021,14.690000
2015-02-17,AMBER,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.815385,1.000000,0.266667,1,1,1,GREEN,GREEN,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,12,173.553604,15.800000
2015-02-18,AMBER,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.815385,1.000000,0.266667,0,1,1,GREEN,GREEN,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,13,173.570129,15.450000
2015-02-19,GREEN,GREEN,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,1.000000,1.000000,0.400000,1,1,1,GREEN,GREEN,R2G,buy,큰 흐름이 좋아지는 중,23,False,False,13,173.446228,15.290000
2015-02-20,GREEN,G2R,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.653846,1.000000,0.400000,-1,1,1,G2R,GREEN,R2G,caution,신호가 엇갈림,23,False,False,12,174.486969,14.300000
2015-02-23,GREEN,G2R,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.653846,1.000000,0.266667,-1,1,1,G2R,GREEN,R2G,caution,신호가 엇갈림,23,False,False,11,174.462250,14.560000
2015-02-24,GREEN,G2R,AMBER,GREEN,GREEN,AMBER,GREEN,AMBER,0.500000,0.733333,0.266667,-1,-1,1,G2R,G2R,R2G,caution,신호가 엇갈림,23,False,False,11,174.957809,13.690000
2015-02-25,GREEN,G2R,AMBER,GREEN,GREEN,AMBER,GREEN,GREEN,0.653846,0.733333,0.266667,0,-1,1,GREEN,G2R,R2G,caution,신호가 엇갈림,23,False,False,9,174.809143,13.840000
